1574.83000000,1575.64000000,1574.68000000,1575.40000000,274.37940000,118416.167665,313725.609064,20892.35000000
1575.39000000,1575.40000000,1572.55000000,1572.56000000,1445.53510000,1670073.622407,605476.326322,20890.72000000
1572.56000000,1574.66000000,1572.55000000,1574.31000000,910.00240000,682147.999171,749732.193029,20908.58000000
1574.31000000,1576.40000000,1574.23000000,1575.97000000,1266.39800000,1168489.175276,826171.583955,20929.86000000
1575.97000000,1576.90000000,1575.55000000,1576.82000000,918.37400000,644453.902225,803087.509333,20923.10000000
1576.82000000,1577.06000000,1575.04000000,1575.73000000,601.70190000,558599.964994,389680.702593,20918.87000000
1575.73000000,1576.87000000,1574.48000000,1576.60000000,1116.75130000,775450.766129,983962.349939,20913.25000000
1576.59000000,1577.21000000,1575.59000000,1576.17000000,377.63930000,228145.015040,367167.763100,20919.83000000
1576.17000000,1578.51000000,1576.17000000,1578.37000000,1024.37110000,1008969.669265,607061.803995,20945.92000000
1578.38000000,1578.93000000,1577.72000000,1578.05000000,706.37370000,484201.489931,630754.005670,20940.56000000
1578.06000000,1579.71000000,1577.83000000,1579.39000000,528.99020000,204504.374531,630682.424746,20946.20000000
1579.38000000,1579.78000000,1578.42000000,1578.66000000,397.39960000,381160.079717,246327.705827,20931.50000000
1578.66000000,1579.32000000,1578.04000000,1579.25000000,294.36330000,252518.554084,212181.334865,20929.46000000
1579.26000000,1581.29000000,1579.25000000,1581.01000000,998.83800000,475124.094867,1103391.129085,20939.53000000
1581.02000000,1584.28000000,1581.01000000,1584.20000000,1096.05890000,294852.474609,1440378.427064,20979.92000000
1584.28000000,1585.12000000,1583.27000000,1584.56000000,894.76620000,566451.447912,851071.484782,20978.61000000
1584.56000000,1584.56000000,1581.35000000,1581.95000000,392.84540000,333395.080071,288291.964789,20954.20000000
1581.96000000,1581.96000000,1580.94000000,1580.95000000,436.19220000,405993.795127,283655.941356,20939.12000000
1580.95000000,1580.99000000,1580.18000000,1580.21000000,585.61480000,628061.578242,297556.662926,20941.27000000
1580.20000000,1581.42000000,1579.88000000,1579.88000000,370.24320000,344575.010197,240591.182495,20937.93000000
1579.89000000,1580.67000000,1579.37000000,1580.54000000,369.27100000,315443.811753,267942.710701,20944.65000000
1580.53000000,1582.05000000,1580.53000000,1581.33000000,425.73830000,180312.616289,492915.309602,20948.63000000
1581.33000000,1581.74000000,1579.98000000,1579.99000000,349.27830000,248518.572499,303755.908071,20936.14000000
1579.98000000,1583.41000000,1579.98000000,1583.40000000,517.62290000,66497.176499,752073.521410,20955.69000000
1583.41000000,1583.79000000,1581.80000000,1581.87000000,904.93500000,983374.210314,448664.579655,20961.12000000
1581.87000000,1583.86000000,1581.36000000,1582.71000000,765.54320000,478091.290080,733734.007885,20968.91000000
1582.71000000,1582.86000000,1582.00000000,1582.24000000,301.27990000,107674.546385,369056.985590,20964.86000000
1582.24000000,1582.69000000,1581.32000000,1581.57000000,495.16090000,539922.833073,243274.646705,20963.96000000
1581.56000000,1583.61000000,1581.56000000,1583.61000000,234.52420000,50635.938545,320603.479311,20991.30000000
1583.60000000,1585.31000000,1582.25000000,1582.26000000,896.43090000,519999.861161,900226.682642,20979.46000000
1582.25000000,1583.56000000,1582.16000000,1582.41000000,472.81810000,368456.550334,379982.348552,20985.62000000
1582.42000000,1583.77000000,1581.83000000,1583.51000000,326.93270000,199858.329989,317517.075644,20999.68000000
1583.52000000,1583.52000000,1582.13000000,1582.26000000,182.06100000,97351.533367,190686.350491,20986.78000000
1582.27000000,1582.52000000,1582.26000000,1582.51000000,219.52030000,205664.464467,141644.853214,20985.35000000
1582.51000000,1582.86000000,1582.37000000,1582.67000000,202.97990000,139671.825526,181404.570329,20985.94000000
1582.66000000,1582.77000000,1582.19000000,1582.53000000,271.32430000,166435.284630,262835.878627,20982.63000000
1582.54000000,1583.32000000,1582.27000000,1582.95000000,295.99870000,312386.552610,156120.823126,20987.33000000
1582.96000000,1584.25000000,1582.95000000,1583.57000000,267.98510000,129550.351404,294822.383822,20999.44000000
1583.56000000,1585.94000000,1583.56000000,1585.28000000,1191.94930000,368286.032973,1521094.022738,21009.10000000
1585.27000000,1585.28000000,1583.34000000,1583.83000000,579.97860000,480625.300382,438168.092461,21004.26000000
1583.82000000,1585.83000000,1583.39000000,1585.82000000,405.88590000,95352.360612,547725.656212,21020.99000000
1585.83000000,1588.72000000,1585.55000000,1587.49000000,1216.14540000,620826.449452,1309640.797690,21034.55000000
1587.50000000,1589.79000000,1586.91000000,1589.63000000,968.25910000,693371.104334,844782.727544,21060.21000000
1589.63000000,1592.10000000,1588.86000000,1590.42000000,1524.90150000,755859.087871,1669453.403978,21050.12000000
1590.42000000,1591.52000000,1590.00000000,1590.14000000,586.09980000,542315.703946,390171.430325,21042.79000000
1590.14000000,1591.14000000,1590.00000000,1591.13000000,303.35450000,227106.287928,255272.075334,21058.03000000
